Title,Series,Volume,Author,Language,Fiction/Non,Genre,Pgs,Publication_date,year_read
Please Ignore Vera Dietz,,,A. S. King,English,Fiction,Young Adult,326,0,2014
Beauty's Punishment,Sleeping Beauty,2,A.N. Roquelaure,English,Fiction,Erotica,233,1984,
Beauty's Release,Sleeping Beauty,3,A.N. Roquelaure,English,Fiction,Erotica,238,1985,
The Claiming of Sleeping Beauty,Sleeping Beauty,1,A.N. Roquelaure,English,Fiction,Erotica,253,1983,
Bad Girl Confessions of a teenage delinquent,,,Abigail Vona,English,Non-Fiction,Biography,267,0,
Too Like the Lightning ,Terra Ignota,,Ada Palmer,English,Fiction,Science Fiction,432,0,2017
The Salinger Contract,,,Adam Langer,English,Fiction,Contemporary,269,0,2014
Murder on the Orient Express,,,Agatha Christie,English,Fiction,Mystery,347,0,2013
The Seven Dials Mystery,,,Agatha Christie,English,Fiction,Mystery,270,0,2013
And Then There Were None,,,Agatha Christie,English,Fiction,Mystery,275,0,
The Thirteen Problems,,,Agatha Christie,English,Fiction,Mystery,215,0,
A Red Herring Without Mustard,Flavia de Luce Mystery,3,Alan Bradley,English,Fiction,Mystery,391,2011,2011
I Am Half Sick of Shadows,Flavia de Luce Mystery,4,Alan Bradley,English,Fiction,Mystery,293,2011,2012
The Sweetness at the Bottom of the Pie,Flavia de Luce Mystery,1,Alan Bradley,English,Fiction,Mystery,370,2009,
The Weed That Strings the Hangman's Bag,Flavia de Luce Mystery,2,Alan Bradley,English,Fiction,Mystery,358,2010,
Lost girls,,,Alan Moore,English,Fiction,Graphic Novel,320,0,2013
Boink: College Sex By the People Having It,,,Alecia Oleyourryk,English,Non-Fiction,Sexuality,261,0,
Formas de volver a casa,,,Alejandro Zambra,Spanish,Fiction,Contemporary,164,0,2014
Bloodlust,Vampire Beach,1,Alex Duval,English,Fiction,Young Adult,196,0,
Initiation,Vampire Beach,2,Alex Duval,English,Fiction,Young Adult,185,0,
In the Afterlight ,The Darkest Minds,3,Alexandra Bracken,English,Fiction,Young Adult,505,0,2019
Never Fade ,The Darkest Minds,2,Alexandra Bracken,English,Fiction,Young Adult,513,0,2019
The Museum of Extraordinary Things,,,Alice Hoffman,English,Fiction,Fantasy,368,0,2014
The Color Purple,,,Alice Walker,English,Fiction,Classic,294,0,
Fun Home,,,Alison Bechdel,English,Non-Fiction,Graphic Novel,232,0,2014
I'd Tell You I Love You But Then I'd Have To Kill You,,,Ally Carter,English,Fiction,Young Adult,284,0,
Acido Sulfurico ,,,Amelie Nothomb,Spanish,Fiction,Science Fiction,168,0,2015
Esperando a Lolo,,,Ana Lydia Vega,Spanish,Fiction,Essays,111,0,
Funny Little Monkey,,,Andrew Auseon,English,Fiction,Young Adult,296,2005,
Girls in Pants The Third Summer of the Sisterhood,Traveling Pants,3,Ann Brashares,English,Fiction,Young Adult,338,2003,
The Second Summer of the Sisterhood,Traveling Pants,2,Ann Brashares,English,Fiction,Young Adult,373,2003,
The Sisterhood of the Traveling Pants,Traveling Pants,1,Ann Brashares,English,Fiction,Young Adult,290,2001,
"The Scot, the Witch, and the Wardrobe",,,Annette Blair,English,Fiction,Paranormal Romance,269,2006,
Tristan e Iseo,,,Anonimo,Spanish,Fiction,Classic,233,0,2012
The WhiteTiger,,,Aravind Adiga,English,Fiction,Contemporary,276,2008,2011
Death Of A Salesman,,,Arthur Miller,English,Fiction,Drama,112,1949,
The Crucible,,,Arthur Miller,English,Fiction,Drama,145,1953,
The Egyptologyst ,,,Arthur Phillips,English,Fiction,Historical Fiction,383,0,
Running With Scissors,,,Augusten Burroughs,English,Non-Fiction,Memoir,304,0,
Aristotle and Dante Discover the Secrets of the Universe ,,,Benjamin Alire Saenz,English,Fiction,Young Adult,359,0,2016
The Reader,,,Bernard Schlink,English,Fiction,Historical Fiction,218,0,
Heat,,,Bill Buford,English,Non-Fiction,Memoir,336,0,2014
Fables: Animal Farm Vol. 2,Fables,2,Bill Willingham,English,Fiction,Graphic Novel,128,0,2015
Fables: Legends In Exile Vol. 1,Fables,1,Bill Willingham,English,Fiction,Graphic Novel,128,0,2015
"Saga, Vol. 1",Saga,1,Brian K. Vaughan,English,Fiction,Graphic Novel,176,0,2015
"Saga, Vol. 2",Saga,2,Brian K. Vaughan,English,Fiction,Graphic Novel,160,0,2015
"Saga, Vol. 3",Saga,3,Brian K. Vaughan,English,Fiction,Graphic Novel,144,0,2019
Y: The Last Man - Deluxe Edition #1-#2,Y: The Last Man,1,Brian K. Vaughan,English,Fiction,Graphic Novel,256,0,2012
Y: The Last Man - Deluxe Edition #3-#4,Y: The Last Man,2,Brian K. Vaughan,English,Fiction,Graphic Novel,320,0,2012
Y: The Last Man - Deluxe Edition #5-#6,Y: The Last Man,3,Brian K. Vaughan,English,Fiction,Graphic Novel,320,0,2013
Y: The Last Man - Deluxe Edition #7-#8,Y: The Last Man,4,Brian K. Vaughan,English,Fiction,Graphic Novel,296,0,2013
A Really Nice Prom Mess,,,Brian Sloan,English,Fiction,Young Adult,266,0,
The Chronicles of Narnia #1-#7,,,C.S. Lewis,English,Fiction,Fantasy,767,0,
Eternal Hunger,Candace Steele Vampire Killer,3,Cameron Dean,English,Fiction,Paranormal Romance,311,0,
Luscious Craving,Candace Steele Vampire Killer,2,Cameron Dean,English,Fiction,Paranormal Romance,328,0,
Passionate Thirst,Candace Steele Vampire Killer,1,Cameron Dean,English,Fiction,Paranormal Romance,301,0,
Aura,,,Carlos Fuentes,Spanish,Fiction,Classic,62,0,
The Angel's Game,,,Carlos Ruiz Zafon,English,Fiction,Mystery,531,0,
The Shadow of the Wind,,,Carlos Ruiz Zafon,English,Fiction,Mystery,487,0,
Cross My Heart,,,Carly Phillips,English,Fiction,Romance,312,0,
Hot Number,,,Carly Phillips,English,Fiction,Romance,378,0,
Simply Sensual,,,Carly Phillips,English,Fiction,Romance,266,0,
The Bachelor,Chandler Boys,1,Carly Phillips,English,Fiction,Romance,301,0,
The Heartbreaker,Chandler Boys,3,Carly Phillips,English,Fiction,Romance,319,0,
The Playboy,Chandler Boys,2,Carly Phillips,English,Fiction,Romance,330,0,
With or Without You,,,Carole Matthews,English,Fiction,Romance,380,0,
