Title,Series,Volume,Author,Language,Fiction/Non,Genre,Pgs,Publication_date,year_read
21,0,0,Jeremy Iversen,English,Fiction,Young Adult,261,2011,0
", Said the Shotgun to the Head",0,0,Saul Williams,English,Non-Fiction,Poetry,182,2003,0
13 Little Blue Envelopes,0,0,Maureen Johnson,English,Fiction,Young Adult,320,0,0
A Bite To Remember,Argeneu Novel,0,Lynsay Sands,English,Fiction,Paranormal Romance,362,0,0
A Clash of Kings,A Song of Ice and Fire,2,George R. R. Martin,English,Fiction,Fantasy,824,0,2012
A Dance With Dragons,A Song of Ice and Fire,5,George R. R. Martin,English,Fiction,Fantasy,1125,0,2013
A Density of Souls,0,0,Christopher Rice,English,Fiction,Mystery,274,0,0
A Dirty Job,0,0,Christopher Moore,English,Fiction,Fantasy,384,0,2016
A Feast for Crows,A Song of Ice and Fire,4,George R. R. Martin,English,Fiction,Fantasy,759,0,2012
A Fistful Of Charms,The Hollows,4,Kim Harrison,English,Fiction,Fantasy,510,0,2016
A Game of Thrones,A Song of Ice and Fire,1,George R. R. Martin,English,Fiction,Fantasy,753,0,0
A Long Way Down,0,0,Nick Hornby,English,Fiction,Contemporary,333,0,0
A Mango-Shaped Space,0,0,Wendy Mass,English,Fiction,Young Adult,218,0,0
A Midsummer's Night Dream,0,0,William Shakespeare,English,Fiction,Classic,240,0,2016
A Moveable Feast,0,0,Ernest Hemingway,English,Non-Fiction,Memoir,225,1964,2011
A Perfect Blood ,The Hollows,10,Kim Harrison,English,Fiction,Fantasy,438,0,2016
A Piece Of Cake,0,0,Cupcake Brown,English,Fiction,Autobiography,465,2007,0
A Really Nice Prom Mess,0,0,Brian Sloan,English,Fiction,Young Adult,266,0,0
A Red Herring Without Mustard,Flavia de Luce Mystery,3,Alan Bradley,English,Fiction,Mystery,391,2011,2011
A Reliable Wife,0,0,Robert Goolrick,English,Fiction,Mystery,291,0,0
A Slip of the Keyboard,0,0,Terry Pratchett,English,Non-Fiction,Essays,323,0,2015
A Storm of Swords,A Song of Ice and Fire,3,George R. R. Martin,English,Fiction,Fiction ,1068,0,2012
A Streetcar Named Desire,0,0,Tennessee Williams,English,Fiction,Drama,179,1951,0
A Study in Scarlet,Sherlock Holmes,0,Sir Arthur Conan Doyle,English,Fiction,Mystery,123,0,2013
A Wizard Abroad,Young Wizards,4,Diane Duane,English,Fiction,Young Adult,332,0,0
A Wizard Alone,Young Wizards,6,Diane Duane,English,Fiction,Young Adult,320,0,0
Acceptance,Southern Reach Trilogy,3,Jeff Vandermeer,English,Fiction,Science Fiction,341,0,2014
